Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
1,AdjacencyList,10,11,0.2500,0.2444,4250257865,V9,408,2201,1477.6667,0,false,0.0238
2,AdjacencyList,10,15,0.2500,0.3333,2610513330,V9,880,1493,1177.5556,0,false,0.0280
3,AdjacencyList,10,15,0.2500,0.3333,970636495,V9,120,1245,744.8889,0,false,0.0297
4,AdjacencyList,10,15,0.2500,0.3333,3625756856,V9,243,1074,692.4444,0,false,0.0251
5,AdjacencyList,10,15,0.2500,0.3333,1985863021,V9,293,1862,878.2222,0,false,0.0293
6,AdjacencyList,10,9,0.2500,0.2000,346005186,V9,396,2413,1567.6250,1,false,0.0208
7,AdjacencyList,10,7,0.2500,0.1556,3001062947,V9,313,2274,1555.8333,3,false,0.0174
8,AdjacencyList,10,17,0.2500,0.3778,1361146912,V9,380,907,650.5556,0,false,0.0307
9,AdjacencyList,10,10,0.2500,0.2222,4016355073,V9,37,2838,1480.2500,1,false,0.0244
10,AdjacencyList,10,16,0.2500,0.3556,2376569238,V9,168,1574,661.8889,0,false,0.0310
11,AdjacencyList,10,11,0.2500,0.2444,736775303,V9,351,1373,885.3750,1,false,0.0223
12,AdjacencyList,10,12,0.2500,0.2667,3391844764,V9,231,1639,936.5556,0,false,0.0222
13,AdjacencyList,10,10,0.2500,0.2222,1752055329,V9,244,1565,954.5000,1,false,0.0214
14,AdjacencyList,10,10,0.2500,0.2222,112188194,V9,393,1825,1026.7778,0,false,0.0204
15,AdjacencyList,10,11,0.2500,0.2444,2767321455,V9,505,2969,1594.1111,0,false,0.0215
16,AdjacencyList,10,10,0.2500,0.2222,1127409520,V9,559,1694,1030.5714,2,false,0.0201
17,AdjacencyList,10,9,0.2500,0.2000,3782458481,V9,93,826,564.8571,2,false,0.0196
18,AdjacencyList,10,15,0.2500,0.3333,2142549946,V9,149,1592,1008.5556,0,false,0.0248
19,AdjacencyList,10,13,0.2500,0.2889,502652011,V9,894,2490,1607.2222,0,false,0.0272
20,AdjacencyList,10,12,0.2500,0.2667,3157737572,V9,967,1498,1258.5000,1,false,0.0267
21,AdjacencyList,10,13,0.2500,0.2889,1517878237,V9,30,946,395.6667,0,false,0.0283
22,AdjacencyList,10,18,0.2500,0.4000,4172962898,V9,152,1097,590.3333,0,false,0.0361
23,AdjacencyList,10,11,0.2500,0.2444,2533078163,V9,68,1638,735.5000,1,false,0.0220
24,AdjacencyList,10,10,0.2500,0.2222,893204728,V9,470,2465,1353.0000,0,false,0.0245
25,AdjacencyList,10,14,0.2500,0.3111,3548317089,V9,232,1351,640.0000,0,false,0.0314
26,AdjacencyList,10,13,0.2500,0.2889,1908431154,V9,436,1520,859.5556,0,false,0.0253
27,AdjacencyList,10,11,0.2500,0.2444,268600919,V9,417,922,672.6250,1,false,0.0220
28,AdjacencyList,10,9,0.2500,0.2000,2923658380,V9,N/A,N/A,N/A,9,false,0.0110
29,AdjacencyList,10,9,0.2500,0.2000,1283729345,V9,407,1311,753.1667,3,false,0.0211
30,AdjacencyList,10,13,0.2500,0.2889,3938781506,V9,490,1736,1098.7778,0,false,0.0213
31,AdjacencyList,10,15,0.2500,0.3333,2298969471,V9,106,1204,602.6667,0,false,0.0259
32,AdjacencyList,10,12,0.2500,0.2667,659129136,V9,274,2552,1147.6667,0,false,0.0250
33,AdjacencyList,10,8,0.2500,0.1778,3314252797,V9,428,1248,889.5714,2,false,0.0179
34,AdjacencyList,10,12,0.2500,0.2667,1674333662,V9,317,1215,759.1111,0,false,0.0230
35,AdjacencyList,10,13,0.2500,0.2889,34436427,V9,59,1194,272.8889,0,false,0.0238
36,AdjacencyList,10,8,0.2500,0.1778,2689497388,V9,67,1779,617.5714,2,false,0.0205
37,AdjacencyList,10,12,0.2500,0.2667,1049583953,V9,366,1439,927.5000,1,false,0.0205
38,AdjacencyList,10,7,0.2500,0.1556,3704639514,V9,395,1816,951.2500,5,false,0.0134
39,AdjacencyList,10,11,0.2500,0.2444,2064724979,V9,372,2828,1424.3333,0,false,0.0218
40,AdjacencyList,10,12,0.2500,0.2667,424849444,V9,154,1565,825.8750,1,false,0.0199
41,AdjacencyList,10,8,0.2500,0.1778,3079917005,V9,439,2019,1160.7500,1,false,0.0193
42,AdjacencyList,10,12,0.2500,0.2667,1440151870,V9,5,1147,576.2500,1,false,0.0270
43,AdjacencyList,10,12,0.2500,0.2667,4095351131,V9,71,778,354.1429,2,false,0.0239
44,AdjacencyList,10,15,0.2500,0.3333,2455452996,V9,303,1581,856.6667,0,false,0.0305
45,AdjacencyList,10,8,0.2500,0.1778,815558661,V9,407,1776,910.0000,3,false,0.0182
46,AdjacencyList,10,13,0.2500,0.2889,3470608322,V9,480,1895,1006.7778,0,false,0.0270
47,AdjacencyList,10,12,0.2500,0.2667,1830716187,V9,992,3217,2082.8889,0,false,0.0199
48,AdjacencyList,10,8,0.2500,0.1778,190803052,V9,N/A,N/A,N/A,9,false,0.0105
49,AdjacencyList,10,17,0.2500,0.3778,2845844813,V9,630,1891,1064.4444,0,false,0.0333
50,AdjacencyList,10,11,0.2500,0.2444,1205951078,V9,124,2558,1033.3333,0,false,0.0188
51,AdjacencyList,10,8,0.2500,0.1778,3861113239,V9,200,2846,1393.2500,1,false,0.0205
52,AdjacencyList,10,8,0.2500,0.1778,2221300104,V9,77,906,525.0000,3,false,0.0176
53,AdjacencyList,10,8,0.2500,0.1778,581512569,V9,286,2887,1461.3750,1,false,0.0225
54,AdjacencyList,10,15,0.2500,0.3333,3236717630,V9,58,1030,607.7500,1,false,0.0259
55,AdjacencyList,10,11,0.2500,0.2444,1596898495,V9,125,1957,1041.1111,0,false,0.0218
56,AdjacencyList,10,13,0.2500,0.2889,4252003956,V9,725,1853,1299.7778,0,false,0.0237
