Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
54,AdjacencyList,10,8,0.2500,0.1778,3408037266,V9,112,1068,632.6667,0,false,0.0332
55,AdjacencyList,10,5,0.2500,0.1111,1768276531,V9,157,2120,1107.0000,1,false,0.0211
56,AdjacencyList,10,7,0.2500,0.1556,128366596,V9,598,1490,1047.0000,0,false,0.0261
57,AdjacencyList,10,4,0.2500,0.0889,2783435757,V9,N/A,N/A,N/A,9,false,0.0113
58,AdjacencyList,10,5,0.2500,0.1111,1143523722,V9,110,1055,316.1429,2,false,0.0221
59,AdjacencyList,10,7,0.2500,0.1556,3798606683,V9,167,1617,678.8889,0,false,0.0243
60,AdjacencyList,10,7,0.2500,0.1556,2158707548,V9,43,1410,661.8889,0,false,0.0287
61,AdjacencyList,10,5,0.2500,0.1111,518822813,V9,882,2198,1269.1250,1,false,0.0209
62,AdjacencyList,10,6,0.2500,0.1333,3173905774,V9,482,1866,1118.2222,0,false,0.0267
63,AdjacencyList,10,5,0.2500,0.1111,1534087739,V9,54,1956,1250.1111,0,false,0.0224
64,AdjacencyList,10,6,0.2500,0.1333,4189258600,V9,539,1733,1144.8750,1,false,0.0211
65,AdjacencyList,10,6,0.2500,0.1333,2549530865,V9,380,1288,928.2222,0,false,0.0288
66,AdjacencyList,10,4,0.2500,0.0889,909677130,V9,336,2202,1255.5714,2,false,0.0182
67,AdjacencyList,10,8,0.2500,0.1778,3564775491,V9,243,1432,695.5556,0,false,0.0297
68,AdjacencyList,10,4,0.2500,0.0889,1924889556,V9,244,3608,2153.8750,1,false,0.0199
69,AdjacencyList,10,6,0.2500,0.1333,284975121,V9,N/A,N/A,N/A,9,false,0.0128
70,AdjacencyList,10,8,0.2500,0.1778,2940045682,V9,632,1277,763.4444,0,false,0.0299
71,AdjacencyList,10,6,0.2500,0.1333,1300156747,V9,498,1664,875.5000,1,false,0.0207
72,AdjacencyList,10,7,0.2500,0.1556,3955221708,V9,306,1249,687.1111,0,false,0.0245
73,AdjacencyList,10,5,0.2500,0.1111,2315466973,V9,280,882,561.8889,0,false,0.0232
74,AdjacencyList,10,3,0.2500,0.0667,675650138,V9,N/A,N/A,N/A,9,false,0.0107
75,AdjacencyList,10,4,0.2500,0.0889,3330793999,V9,11,979,427.7143,2,false,0.0204
76,AdjacencyList,10,5,0.2500,0.1111,1690964864,V9,158,158,158.0000,8,false,0.0143
77,AdjacencyList,10,6,0.2500,0.1333,51087129,V9,136,1252,476.1111,0,false,0.0239
78,AdjacencyList,10,4,0.2500,0.0889,2706148990,V9,356,1895,1064.5556,0,false,0.0189
79,AdjacencyList,10,4,0.2500,0.0889,1066230155,V9,22,815,406.0000,2,false,0.0179
80,AdjacencyList,10,5,0.2500,0.1111,3721309416,V9,74,1676,751.5556,0,false,0.0210
81,AdjacencyList,10,5,0.2500,0.1111,2081412981,V9,212,1627,936.3750,1,false,0.0230
82,AdjacencyList,10,5,0.2500,0.1111,441505346,V9,188,2542,1012.0000,1,false,0.0259
83,AdjacencyList,10,6,0.2500,0.1333,3096687307,V9,614,1172,876.0000,2,false,0.0268
84,AdjacencyList,10,8,0.2500,0.1778,1456876672,V9,4,1102,385.1111,0,false,0.0314
85,AdjacencyList,10,4,0.2500,0.0889,4112107033,V9,N/A,N/A,N/A,9,false,0.0115
86,AdjacencyList,10,3,0.2500,0.0667,2472291498,V9,N/A,N/A,N/A,9,false,0.0106
87,AdjacencyList,10,6,0.2500,0.1333,832360163,V9,70,936,413.3333,0,false,0.0233
88,AdjacencyList,10,6,0.2500,0.1333,3487425524,V9,773,1291,988.2500,1,false,0.0468
89,AdjacencyList,10,5,0.2500,0.1111,1847730289,V9,468,1652,900.4286,2,false,0.0185
90,AdjacencyList,10,4,0.2500,0.0889,207880854,V9,N/A,N/A,N/A,9,false,0.0141
91,AdjacencyList,10,5,0.2500,0.1111,2862978915,V9,321,723,522.0000,7,false,0.0143
92,AdjacencyList,10,6,0.2500,0.1333,1223061680,V9,497,1381,862.6667,3,false,0.0194
93,AdjacencyList,10,7,0.2500,0.1556,3878266541,V9,62,1450,684.0000,0,false,0.0253
94,AdjacencyList,10,4,0.2500,0.0889,2238395806,V9,997,997,997.0000,8,false,0.0128
95,AdjacencyList,10,8,0.2500,0.1778,598607871,V9,2,901,387.7500,1,false,0.0276
96,AdjacencyList,10,4,0.2500,0.0889,3253884932,V9,81,1313,447.5000,3,false,0.0219
