Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
51,AdjacencyMatrix,10,12,0.2500,0.2667,2172614119,V9,757,1449,1163.2222,0,false,0.0230
52,AdjacencyMatrix,10,18,0.2500,0.4000,532733284,V9,284,1436,642.0000,1,false,0.0305
53,AdjacencyMatrix,10,13,0.2500,0.2889,3187840845,V9,252,1262,663.4444,0,false,0.0243
54,AdjacencyMatrix,10,10,0.2500,0.2222,1547962910,V9,330,889,621.2857,2,false,0.0206
55,AdjacencyMatrix,10,12,0.2500,0.2667,4203090371,V9,261,2537,1228.7778,0,false,0.0229
56,AdjacencyMatrix,10,10,0.2500,0.2222,2563208736,V9,693,1913,1283.0000,1,false,0.0207
57,AdjacencyMatrix,10,9,0.2500,0.2000,923510201,V9,491,1432,965.0000,1,false,0.0174
58,AdjacencyMatrix,10,7,0.2500,0.1556,3578703362,V9,146,1955,1068.2857,2,false,0.0180
59,AdjacencyMatrix,10,11,0.2500,0.2444,1939076027,V9,381,1836,998.1111,0,false,0.0221
60,AdjacencyMatrix,10,15,0.2500,0.3333,299298192,V9,78,1048,566.2222,0,false,0.0260
61,AdjacencyMatrix,10,7,0.2500,0.1556,2954430253,V9,554,1663,996.6667,3,false,0.0163
62,AdjacencyMatrix,10,11,0.2500,0.2444,1314589918,V9,35,2000,860.4444,0,false,0.0243
63,AdjacencyMatrix,10,8,0.2500,0.1778,3969702179,V9,771,1661,1188.0000,3,false,0.0163
64,AdjacencyMatrix,10,7,0.2500,0.1556,2329814944,V9,522,1751,1157.4000,4,false,0.0143
65,AdjacencyMatrix,10,15,0.2500,0.3333,689982909,V9,161,1460,754.5556,0,false,0.0254
66,AdjacencyMatrix,10,10,0.2500,0.2222,3345116170,V9,103,1839,699.8889,0,false,0.0182
67,AdjacencyMatrix,10,16,0.2500,0.3556,1705321435,V9,294,1488,800.7778,0,false,0.0318
68,AdjacencyMatrix,10,14,0.2500,0.3111,65646100,V9,11,1630,700.2222,0,false,0.0291
69,AdjacencyMatrix,10,10,0.2500,0.2222,2720871961,V9,412,1783,1141.1250,1,false,0.0221
70,AdjacencyMatrix,10,15,0.2500,0.3333,1081063526,V9,107,1066,740.8889,0,false,0.0271
71,AdjacencyMatrix,10,14,0.2500,0.3111,3736172487,V9,160,1492,848.7500,1,false,0.0246
72,AdjacencyMatrix,10,5,0.2500,0.1111,2096290752,V9,358,1231,794.5000,7,false,0.0123
73,AdjacencyMatrix,10,12,0.2500,0.2667,456395817,V9,166,2488,1585.2222,0,false,0.0260
74,AdjacencyMatrix,10,10,0.2500,0.2222,3111492778,V9,170,1676,918.1250,1,false,0.0198
75,AdjacencyMatrix,10,11,0.2500,0.2444,1471620443,V9,343,1911,1243.8889,0,false,0.0191
76,AdjacencyMatrix,10,16,0.2500,0.3556,4126707904,V9,799,1698,1197.7778,0,false,0.0270
77,AdjacencyMatrix,10,12,0.2500,0.2667,2487009369,V9,41,1071,460.3750,1,false,0.0237
78,AdjacencyMatrix,10,11,0.2500,0.2444,847286234,V9,526,1746,966.3750,1,false,0.0199
79,AdjacencyMatrix,10,6,0.2500,0.1333,3502479795,V9,890,890,890.0000,8,false,0.0117
80,AdjacencyMatrix,10,14,0.2500,0.3111,1862595060,V9,133,977,640.3333,0,false,0.0277
81,AdjacencyMatrix,10,11,0.2500,0.2444,222749525,V9,716,2554,1691.3333,0,false,0.0241
82,AdjacencyMatrix,10,12,0.2500,0.2667,2877838086,V9,424,1644,1012.6250,1,false,0.0201
83,AdjacencyMatrix,10,11,0.2500,0.2444,1237958451,V9,445,3163,2058.5556,0,false,0.0224
84,AdjacencyMatrix,10,6,0.2500,0.1333,3893062312,V9,837,995,916.0000,7,false,0.0122
85,AdjacencyMatrix,10,10,0.2500,0.2222,2253157977,V9,70,2109,1158.8750,1,false,0.0240
86,AdjacencyMatrix,10,13,0.2500,0.2889,613283442,V9,714,1771,1389.3333,0,false,0.0243
87,AdjacencyMatrix,10,13,0.2500,0.2889,3268654103,V9,157,1823,999.3333,0,false,0.0293
88,AdjacencyMatrix,10,10,0.2500,0.2222,1628955768,V9,874,2388,1698.1429,2,false,0.0196
89,AdjacencyMatrix,10,6,0.2500,0.1333,4284230029,V9,397,397,397.0000,8,false,0.0123
90,AdjacencyMatrix,10,17,0.2500,0.3778,2644453494,V9,377,1656,820.4444,0,false,0.0339
91,AdjacencyMatrix,10,10,0.2500,0.2222,1004582159,V9,79,1133,709.6250,1,false,0.0183
92,AdjacencyMatrix,10,12,0.2500,0.2667,3659669220,V9,647,2196,1274.2222,0,false,0.0259
93,AdjacencyMatrix,10,9,0.2500,0.2000,2019779185,V9,640,1843,1198.0000,2,false,0.0193
94,AdjacencyMatrix,10,10,0.2500,0.2222,379888650,V9,564,3374,2349.4444,0,false,0.0221
95,AdjacencyMatrix,10,14,0.2500,0.3111,3035014211,V9,263,1747,805.3333,0,false,0.0280
96,AdjacencyMatrix,10,8,0.2500,0.1778,1395269476,V9,50,2648,1301.2500,1,false,0.0201
97,AdjacencyMatrix,10,8,0.2500,0.1778,4050446037,V9,193,1763,684.5000,1,false,0.0194
98,AdjacencyMatrix,10,11,0.2500,0.2444,2410739702,V9,241,1709,863.7778,0,false,0.0224
99,AdjacencyMatrix,10,11,0.2500,0.2444,770869567,V9,798,2876,1782.7778,0,false,0.0259
100,AdjacencyMatrix,10,11,0.2500,0.2444,3426021928,V9,572,1889,1238.5000,1,false,0.0227
1,AdjacencyMatrix,10,23,0.5000,0.5111,2631814245,V9,19,791,354.8889,0,false,0.0496
2,AdjacencyMatrix,10,19,0.5000,0.4222,991999810,V9,134,1712,1033.6667,0,false,0.0371
3,AdjacencyMatrix,10,21,0.5000,0.4667,3647167871,V9,80,1013,517.8889,0,false,0.0405
4,AdjacencyMatrix,10,22,0.5000,0.4889,2007426336,V9,406,992,684.3333,0,false,0.0312
5,AdjacencyMatrix,10,21,0.5000,0.4667,367746601,V9,635,1096,879.5556,0,false,0.0349
6,AdjacencyMatrix,10,26,0.5000,0.5778,3023016062,V9,18,687,387.6667,0,false,0.0398
7,AdjacencyMatrix,10,17,0.5000,0.3778,1383179627,V9,192,1289,669.2222,0,false,0.0289
8,AdjacencyMatrix,10,20,0.5000,0.4444,4038335088,V9,147,1150,653.5556,0,false,0.0277
9,AdjacencyMatrix,10,25,0.5000,0.5556,2398614653,V9,41,643,408.4444,0,false,0.0394
10,AdjacencyMatrix,10,27,0.5000,0.6000,758843218,V9,237,950,565.0000,0,false,0.0336
11,AdjacencyMatrix,10,23,0.5000,0.5111,3414018079,V9,23,625,253.5556,0,false,0.0432
12,AdjacencyMatrix,10,21,0.5000,0.4667,1774259244,V9,458,1298,1003.8889,0,false,0.0354
13,AdjacencyMatrix,10,21,0.5000,0.4667,134665409,V9,1,747,434.8889,0,false,0.0413
14,AdjacencyMatrix,10,23,0.5000,0.5111,2790029570,V9,150,719,391.6667,0,false,0.0386
15,AdjacencyMatrix,10,28,0.5000,0.6222,1150401335,V9,82,505,209.4444,0,false,0.0510
16,AdjacencyMatrix,10,21,0.5000,0.4667,3805539896,V9,479,1489,872.4444,0,false,0.0296
17,AdjacencyMatrix,10,19,0.5000,0.4222,2165832561,V9,192,838,537.5556,0,false,0.0371
18,AdjacencyMatrix,10,27,0.5000,0.6000,525984826,V9,41,365,276.2222,0,false,0.0409
19,AdjacencyMatrix,10,16,0.5000,0.3556,3181137987,V9,221,1010,521.8889,0,false,0.0313
20,AdjacencyMatrix,10,23,0.5000,0.5111,1541265052,V9,13,656,339.1111,0,false,0.0430
21,AdjacencyMatrix,10,22,0.5000,0.4889,4196374813,V9,11,511,172.3333,0,false,0.0408
22,AdjacencyMatrix,10,24,0.5000,0.5333,2556925678,V9,111,735,287.4444,0,false,0.0389
23,AdjacencyMatrix,10,19,0.5000,0.4222,917230943,V9,125,1772,870.2222,0,false,0.0379
24,AdjacencyMatrix,10,23,0.5000,0.5111,3572585404,V9,507,1047,769.8889,0,false,0.0374
25,AdjacencyMatrix,10,23,0.5000,0.5111,1932770369,V9,59,676,327.2222,0,false,0.0492
26,AdjacencyMatrix,10,22,0.5000,0.4889,293082434,V9,126,851,416.3333,0,false,0.0366
27,AdjacencyMatrix,10,23,0.5000,0.5111,2948283195,V9,334,1622,859.1111,0,false,0.0366
28,AdjacencyMatrix,10,23,0.5000,0.5111,1308463060,V9,315,1062,691.2222,0,false,0.0363
29,AdjacencyMatrix,10,23,0.5000,0.5111,3963577221,V9,131,827,475.4444,0,false,0.0300
30,AdjacencyMatrix,10,22,0.5000,0.4889,2323888286,V9,130,880,590.4444,0,false,0.0516
31,AdjacencyMatrix,10,17,0.5000,0.3778,684361751,V9,280,1253,659.5556,0,false,0.0327
32,AdjacencyMatrix,10,25,0.5000,0.5556,3339620712,V9,4,831,302.1111,0,false,0.0324
33,AdjacencyMatrix,10,19,0.5000,0.4222,1699773677,V9,106,1668,745.6667,0,false,0.0321
34,AdjacencyMatrix,10,20,0.5000,0.4444,59895942,V9,370,1454,802.3333,0,false,0.0389
35,AdjacencyMatrix,10,26,0.5000,0.5778,2714999903,V9,64,956,594.2222,0,false,0.0471
36,AdjacencyMatrix,10,20,0.5000,0.4444,1075148168,V9,243,754,530.1111,0,false,0.0381
37,AdjacencyMatrix,10,21,0.5000,0.4667,3730248229,V9,407,944,736.4444,0,false,0.0338
38,AdjacencyMatrix,10,18,0.5000,0.4000,2090438494,V9,105,953,371.0000,0,false,0.0394
39,AdjacencyMatrix,10,24,0.5000,0.5333,450568859,V9,46,584,294.6667,0,false,0.0496
40,AdjacencyMatrix,10,22,0.5000,0.4889,3106098820,V9,172,926,475.5556,0,false,0.0321
41,AdjacencyMatrix,10,21,0.5000,0.4667,1466489185,V9,105,819,454.7778,0,false,0.0359
42,AdjacencyMatrix,10,24,0.5000,0.5333,4121639846,V9,358,1143,602.5556,0,false,0.0511
43,AdjacencyMatrix,10,30,0.5000,0.6667,2481978511,V9,302,806,475.8889,0,false,0.0455
44,AdjacencyMatrix,10,23,0.5000,0.5111,842204776,V9,176,653,402.1111,0,false,0.0372
45,AdjacencyMatrix,10,26,0.5000,0.5778,3497356337,V9,197,741,466.6667,0,false,0.0481
46,AdjacencyMatrix,10,24,0.5000,0.5333,1857522802,V9,607,1325,1005.4444,0,false,0.0380
47,AdjacencyMatrix,10,24,0.5000,0.5333,217719267,V9,189,708,406.0000,0,false,0.0376
48,AdjacencyMatrix,10,20,0.5000,0.4444,2873046628,V9,182,941,669.4444,0,false,0.0441
49,AdjacencyMatrix,10,11,0.5000,0.2444,1233551793,V9,370,2939,1644.1111,0,false,0.0264
50,AdjacencyMatrix,10,20,0.5000,0.4444,3888839454,V9,379,1428,869.0000,0,false,0.0397
51,AdjacencyMatrix,10,27,0.5000,0.6000,2249074019,V9,181,870,408.4444,0,false,0.0777
52,AdjacencyMatrix,10,23,0.5000,0.5111,609268084,V9,228,546,324.8889,0,false,0.0434
53,AdjacencyMatrix,10,22,0.5000,0.4889,3264388245,V9,340,1125,571.5556,0,false,0.0354
54,AdjacencyMatrix,10,15,0.5000,0.3333,1624531510,V9,44,1632,960.5556,0,false,0.0258
55,AdjacencyMatrix,10,23,0.5000,0.5111,4279624971,V9,33,800,473.2222,0,false,0.0430
56,AdjacencyMatrix,10,20,0.5000,0.4444,2639774736,V9,874,1344,1105.7778,0,false,0.0285
57,AdjacencyMatrix,10,22,0.5000,0.4889,1000098901,V9,48,829,513.0000,0,false,0.0438
58,AdjacencyMatrix,10,22,0.5000,0.4889,3655675862,V9,279,1010,610.2222,0,false,0.0313
59,AdjacencyMatrix,10,23,0.5000,0.5111,2015956527,V9,284,1046,698.6667,0,false,0.0367
