Run,GraphType,Vertices,Edges,RequestedDensity,ActualDensity,Seed,SourceVertex,MinDist,MaxDist,AvgDist,UnreachableVertices,NegativeCycle,TimeMs
51,AdjacencyMatrix,10,10,0.2500,0.2222,268725911,V9,80,1913,876.1429,2,false,0.0278
52,AdjacencyMatrix,10,10,0.2500,0.2222,2923974972,V9,81,1443,656.5000,1,false,0.0240
53,AdjacencyMatrix,10,14,0.2500,0.3111,1284181337,V9,170,1220,615.3333,0,false,0.0308
54,AdjacencyMatrix,10,14,0.2500,0.3111,3939417998,V9,248,1512,697.4444,0,false,0.0334
55,AdjacencyMatrix,10,17,0.2500,0.3778,2299799963,V9,52,810,435.4444,0,false,0.0343
56,AdjacencyMatrix,10,10,0.2500,0.2222,660225028,V9,284,1451,751.0000,0,false,0.0307
57,AdjacencyMatrix,10,9,0.2500,0.2000,3315375589,V9,217,1169,736.3333,3,false,0.0241
58,AdjacencyMatrix,10,11,0.2500,0.2444,1675583854,V9,373,2157,1109.3333,0,false,0.0248
59,AdjacencyMatrix,10,11,0.2500,0.2444,35792319,V9,326,1237,714.0000,1,false,0.0278
60,AdjacencyMatrix,10,12,0.2500,0.2667,2690947980,V9,177,2502,1329.6667,0,false,0.0302
61,AdjacencyMatrix,10,14,0.2500,0.3111,1051132745,V9,346,1991,1032.2222,0,false,0.0312
62,AdjacencyMatrix,10,12,0.2500,0.2667,3706312606,V9,82,1105,681.7500,1,false,0.0254
63,AdjacencyMatrix,10,8,0.2500,0.1778,2066709171,V9,146,1367,872.5000,3,false,0.0234
64,AdjacencyMatrix,10,13,0.2500,0.2889,426992936,V9,20,1505,671.6250,1,false,0.0302
65,AdjacencyMatrix,10,10,0.2500,0.2222,3082319697,V9,132,1472,821.5714,2,false,0.0295
66,AdjacencyMatrix,10,12,0.2500,0.2667,1442567762,V9,323,1740,1172.0000,0,false,0.0288
67,AdjacencyMatrix,10,11,0.2500,0.2444,4097695523,V9,515,2076,1068.2222,0,false,0.0275
68,AdjacencyMatrix,10,12,0.2500,0.2667,2457913688,V9,164,1578,855.7778,0,false,0.0270
69,AdjacencyMatrix,10,10,0.2500,0.2222,818226353,V9,128,2056,918.5000,1,false,0.0269
70,AdjacencyMatrix,10,12,0.2500,0.2667,3473425314,V9,176,1816,1032.6667,0,false,0.0318
71,AdjacencyMatrix,10,13,0.2500,0.2889,1833662179,V9,56,927,569.7500,1,false,0.0335
72,AdjacencyMatrix,10,14,0.2500,0.3111,194053944,V9,32,2255,1289.5556,0,false,0.0343
73,AdjacencyMatrix,10,15,0.2500,0.3333,2849349605,V9,43,1020,521.2500,1,false,0.0282
74,AdjacencyMatrix,10,11,0.2500,0.2444,1209648370,V9,79,79,79.0000,8,false,0.0175
75,AdjacencyMatrix,10,7,0.2500,0.1556,3864828731,V9,237,237,237.0000,8,false,0.0159
76,AdjacencyMatrix,10,11,0.2500,0.2444,2225042996,V9,610,1672,1033.2500,1,false,0.0288
77,AdjacencyMatrix,10,5,0.2500,0.1111,585266861,V9,798,2411,1556.5000,5,false,0.0185
78,AdjacencyMatrix,10,10,0.2500,0.2222,3240456622,V9,759,2015,1290.6667,0,false,0.0279
79,AdjacencyMatrix,10,20,0.2500,0.4444,1600735887,V9,103,947,583.3333,0,false,0.0336
80,AdjacencyMatrix,10,8,0.2500,0.1778,4255980648,V9,457,2361,1432.7500,1,false,0.0269
81,AdjacencyMatrix,10,13,0.2500,0.2889,2616260513,V9,90,904,333.7778,0,false,0.0293
82,AdjacencyMatrix,10,8,0.2500,0.1778,976579178,V9,37,1547,961.5000,3,false,0.0223
83,AdjacencyMatrix,10,16,0.2500,0.3556,3631834839,V9,25,927,498.0000,0,false,0.0344
84,AdjacencyMatrix,10,11,0.2500,0.2444,1992040604,V9,1,1120,632.1111,0,false,0.0283
85,AdjacencyMatrix,10,11,0.2500,0.2444,352329069,V9,667,2777,1753.4444,0,false,0.0278
86,AdjacencyMatrix,10,16,0.2500,0.3556,3007594230,V9,413,1456,755.0000,0,false,0.0339
87,AdjacencyMatrix,10,15,0.2500,0.3333,1367822495,V9,N/A,N/A,N/A,9,false,0.0170
88,AdjacencyMatrix,10,13,0.2500,0.2889,4023138356,V9,484,1376,888.6250,1,false,0.0296
89,AdjacencyMatrix,10,13,0.2500,0.2889,2383437421,V9,53,1473,773.0000,0,false,0.0301
90,AdjacencyMatrix,10,15,0.2500,0.3333,743709786,V9,609,1577,930.8889,0,false,0.0331
91,AdjacencyMatrix,10,13,0.2500,0.2889,3399072647,V9,272,1599,1082.8571,2,false,0.0291
92,AdjacencyMatrix,10,14,0.2500,0.3111,1759293312,V9,114,1399,816.0000,1,false,0.0278
93,AdjacencyMatrix,10,16,0.2500,0.3556,119534677,V9,225,891,492.4444,0,false,0.0320
94,AdjacencyMatrix,10,8,0.2500,0.1778,2774733838,V9,N/A,N/A,N/A,9,false,0.0147
95,AdjacencyMatrix,10,9,0.2500,0.2000,1134953303,V9,107,1958,866.4444,0,false,0.0259
96,AdjacencyMatrix,10,14,0.2500,0.3111,3790127864,V9,302,1364,845.0000,6,false,0.0230
97,AdjacencyMatrix,10,13,0.2500,0.2889,2150333929,V9,108,1051,758.8571,2,false,0.0255
98,AdjacencyMatrix,10,14,0.2500,0.3111,510578894,V9,730,1512,1001.8750,1,false,0.0352
99,AdjacencyMatrix,10,13,0.2500,0.2889,3165785155,V9,474,1882,1180.4444,0,false,0.0262
100,AdjacencyMatrix,10,7,0.2500,0.1556,1526009220,V9,390,2792,1411.7143,2,false,0.0232
1,AdjacencyMatrix,10,22,0.5000,0.4889,732198737,V9,172,1029,525.5556,0,false,0.0353
2,AdjacencyMatrix,10,24,0.5000,0.5333,3387316798,V9,78,557,279.2222,0,false,0.0374
3,AdjacencyMatrix,10,28,0.5000,0.6222,1747460463,V9,47,792,465.0000,0,false,0.0489
4,AdjacencyMatrix,10,22,0.5000,0.4889,107611528,V9,475,1466,930.8889,0,false,0.0451
5,AdjacencyMatrix,10,19,0.5000,0.4222,2762800889,V9,183,947,477.2222,0,false,0.0379
6,AdjacencyMatrix,10,19,0.5000,0.4222,1123158854,V9,367,804,546.5000,1,false,0.0327
7,AdjacencyMatrix,10,22,0.5000,0.4889,3778502115,V9,70,1159,473.4444,0,false,0.0476
8,AdjacencyMatrix,10,20,0.5000,0.4444,2138699980,V9,233,1309,732.2222,0,false,0.0335
9,AdjacencyMatrix,10,20,0.5000,0.4444,499036245,V9,224,1175,844.8889,0,false,0.0386
10,AdjacencyMatrix,10,23,0.5000,0.5111,3154198406,V9,307,1012,597.0000,0,false,0.0371
11,AdjacencyMatrix,10,22,0.5000,0.4889,1514415471,V9,123,636,495.8889,0,false,0.0360
12,AdjacencyMatrix,10,22,0.5000,0.4889,4169648632,V9,54,504,225.6667,0,false,0.0411
13,AdjacencyMatrix,10,26,0.5000,0.5778,2529870797,V9,154,1141,659.1111,0,false,0.0399
14,AdjacencyMatrix,10,26,0.5000,0.5778,890188362,V9,354,839,550.4444,0,false,0.0481
15,AdjacencyMatrix,10,23,0.5000,0.5111,3545499223,V9,190,1226,729.6667,0,false,0.0429
16,AdjacencyMatrix,10,18,0.5000,0.4000,1905972088,V9,20,1076,588.7778,0,false,0.0374
17,AdjacencyMatrix,10,20,0.5000,0.4444,266153153,V9,248,1312,704.8889,0,false,0.0388
18,AdjacencyMatrix,10,16,0.5000,0.3556,2921308814,V9,313,1862,953.1111,0,false,0.0357
19,AdjacencyMatrix,10,27,0.5000,0.6000,1281667979,V9,340,738,517.8889,0,false,0.0471
20,AdjacencyMatrix,10,19,0.5000,0.4222,3937041640,V9,39,1439,491.4444,0,false,0.0388
21,AdjacencyMatrix,10,25,0.5000,0.5556,2297310405,V9,274,1161,754.0000,0,false,0.0578
22,AdjacencyMatrix,10,25,0.5000,0.5556,657992070,V9,50,888,473.4444,0,false,0.0584
23,AdjacencyMatrix,10,24,0.5000,0.5333,3313480031,V9,28,851,390.5556,0,false,0.0451
24,AdjacencyMatrix,10,24,0.5000,0.5333,1673868696,V9,329,1133,560.2222,0,false,0.0498
25,AdjacencyMatrix,10,17,0.5000,0.3778,34153161,V9,19,970,400.5556,0,false,0.0399
26,AdjacencyMatrix,10,19,0.5000,0.4222,2689416222,V9,114,1002,604.5556,0,false,0.0425
27,AdjacencyMatrix,10,21,0.5000,0.4667,1049565187,V9,246,1369,791.4444,0,false,0.0494
28,AdjacencyMatrix,10,19,0.5000,0.4222,3704686248,V9,218,1147,650.0000,0,false,0.0426
29,AdjacencyMatrix,10,26,0.5000,0.5778,2064834413,V9,73,1018,510.3333,0,false,0.0459
30,AdjacencyMatrix,10,22,0.5000,0.4889,425110978,V9,149,648,335.0000,0,false,0.0431
31,AdjacencyMatrix,10,20,0.5000,0.4444,3080446239,V9,66,1009,629.6667,0,false,0.0402
32,AdjacencyMatrix,10,20,0.5000,0.4444,1440847804,V9,205,885,472.7778,0,false,0.0345
33,AdjacencyMatrix,10,29,0.5000,0.6444,4096099765,V9,62,613,307.3333,0,false,0.0433
34,AdjacencyMatrix,10,28,0.5000,0.6222,2456266230,V9,261,1149,611.7778,0,false,0.0496
35,AdjacencyMatrix,10,21,0.5000,0.4667,816417995,V9,298,1079,792.8889,0,false,0.0396
36,AdjacencyMatrix,10,21,0.5000,0.4667,3471542856,V9,6,471,249.3333,0,false,0.0399
37,AdjacencyMatrix,10,27,0.5000,0.6000,1831756221,V9,69,639,403.1111,0,false,0.0479
38,AdjacencyMatrix,10,24,0.5000,0.5333,191919686,V9,90,796,459.4444,0,false,0.0377
39,AdjacencyMatrix,10,19,0.5000,0.4222,2847258347,V9,59,1224,501.2222,0,false,0.0356
40,AdjacencyMatrix,10,20,0.5000,0.4444,1207657012,V9,596,1589,979.7778,0,false,0.0400
41,AdjacencyMatrix,10,31,0.5000,0.6889,3863047473,V9,47,673,333.4444,0,false,0.0608
42,AdjacencyMatrix,10,19,0.5000,0.4222,2223302738,V9,19,1126,480.5556,0,false,0.0367
43,AdjacencyMatrix,10,24,0.5000,0.5333,583455903,V9,447,984,666.8889,0,false,0.0376
44,AdjacencyMatrix,10,18,0.5000,0.4000,3238569864,V9,234,900,669.1111,0,false,0.0317
45,AdjacencyMatrix,10,20,0.5000,0.4444,1598722829,V9,501,1032,737.5556,0,false,0.0384
46,AdjacencyMatrix,10,25,0.5000,0.5556,4254149190,V9,54,947,363.7778,0,false,0.0523
47,AdjacencyMatrix,10,22,0.5000,0.4889,2614440855,V9,81,772,401.8889,0,false,0.0480
48,AdjacencyMatrix,10,22,0.5000,0.4889,974872320,V9,176,590,425.7778,0,false,0.0485
49,AdjacencyMatrix,10,25,0.5000,0.5556,3630247381,V9,15,426,191.3333,0,false,0.0442
50,AdjacencyMatrix,10,24,0.5000,0.5333,1990587046,V9,136,843,448.0000,0,false,0.0442
51,AdjacencyMatrix,10,28,0.5000,0.6222,350797411,V9,886,1601,1309.3333,0,false,0.0412
52,AdjacencyMatrix,10,23,0.5000,0.5111,3005951172,V9,203,809,516.7778,0,false,0.0420
53,AdjacencyMatrix,10,22,0.5000,0.4889,1366188437,V9,87,889,493.8889,0,false,0.0527
54,AdjacencyMatrix,10,21,0.5000,0.4667,4021404598,V9,133,829,491.1111,0,false,0.0345
55,AdjacencyMatrix,10,23,0.5000,0.5111,2381609263,V9,257,1006,577.3333,0,false,0.0424
56,AdjacencyMatrix,10,24,0.5000,0.5333,742075928,V9,17,512,285.1111,0,false,0.0443
57,AdjacencyMatrix,10,20,0.5000,0.4444,3397633789,V9,616,1314,941.7778,0,false,0.0458
58,AdjacencyMatrix,10,21,0.5000,0.4667,1758029054,V9,251,1329,667.8889,0,false,0.0408
59,AdjacencyMatrix,10,20,0.5000,0.4444,118356919,V9,121,934,582.6667,0,false,0.0391
60,AdjacencyMatrix,10,23,0.5000,0.5111,2773644280,V9,695,1131,854.8889,0,false,0.0429
61,AdjacencyMatrix,10,17,0.5000,0.3778,1133838345,V9,254,1151,653.1111,0,false,0.0308
62,AdjacencyMatrix,10,22,0.5000,0.4889,3789032206,V9,42,688,268.4444,0,false,0.0649
63,AdjacencyMatrix,10,18,0.5000,0.4000,2149274071,V9,152,995,539.4444,0,false,0.0371
64,AdjacencyMatrix,10,18,0.5000,0.4000,509612736,V9,433,999,745.8889,0,false,0.0366
65,AdjacencyMatrix,10,23,0.5000,0.5111,3164916697,V9,22,897,415.0000,0,false,0.0430
66,AdjacencyMatrix,10,19,0.5000,0.4222,1525295862,V9,42,810,486.8889,0,false,0.0378
67,AdjacencyMatrix,10,19,0.5000,0.4222,4180523723,V9,208,867,482.0000,0,false,0.0372
68,AdjacencyMatrix,10,21,0.5000,0.4667,2540702788,V9,3,701,320.3333,0,false,0.0348
69,AdjacencyMatrix,10,18,0.5000,0.4000,900919553,V9,65,661,445.4444,0,false,0.0317
70,AdjacencyMatrix,10,20,0.5000,0.4444,3556078214,V9,459,1663,914.8889,0,false,0.0445
71,AdjacencyMatrix,10,21,0.5000,0.4667,1916291779,V9,126,789,416.5556,0,false,0.0400
72,AdjacencyMatrix,10,22,0.5000,0.4889,276529044,V9,263,914,510.8889,0,false,0.0411
73,AdjacencyMatrix,10,23,0.5000,0.5111,2931968305,V9,169,1171,595.7778,0,false,0.0429
74,AdjacencyMatrix,10,21,0.5000,0.4667,1292515370,V9,98,694,292.8889,0,false,0.0476
75,AdjacencyMatrix,10,24,0.5000,0.5333,3947774031,V9,52,945,497.0000,0,false,0.0453
76,AdjacencyMatrix,10,23,0.5000,0.5111,2308050296,V9,240,927,494.2222,0,false,0.0499
77,AdjacencyMatrix,10,21,0.5000,0.4667,668319961,V9,103,640,460.5556,0,false,0.0354
78,AdjacencyMatrix,10,23,0.5000,0.5111,3323534622,V9,10,541,302.6667,0,false,0.0422
79,AdjacencyMatrix,10,23,0.5000,0.5111,1683778187,V9,17,921,300.5556,0,false,0.0483
80,AdjacencyMatrix,10,21,0.5000,0.4667,44018652,V9,129,639,335.4444,0,false,0.0399
81,AdjacencyMatrix,10,22,0.5000,0.4889,2699352713,V9,188,871,500.5556,0,false,0.0418
82,AdjacencyMatrix,10,26,0.5000,0.5778,1059748378,V9,254,939,616.2222,0,false,0.1080
83,AdjacencyMatrix,10,26,0.5000,0.5778,3715133539,V9,393,886,565.0000,0,false,0.0528
84,AdjacencyMatrix,10,20,0.5000,0.4444,2075381704,V9,266,1361,652.7778,0,false,0.0386
85,AdjacencyMatrix,10,23,0.5000,0.5111,435608569,V9,354,1133,661.8889,0,false,0.0366
86,AdjacencyMatrix,10,22,0.5000,0.4889,3090807630,V9,279,887,571.8889,0,false,0.0417
87,AdjacencyMatrix,10,25,0.5000,0.5556,1451031395,V9,63,831,365.6667,0,false,0.0453
88,AdjacencyMatrix,10,26,0.5000,0.5778,4106221156,V9,104,667,303.3333,0,false,0.0390
89,AdjacencyMatrix,10,23,0.5000,0.5111,2466541521,V9,96,722,435.2222,0,false,0.0446
90,AdjacencyMatrix,10,18,0.5000,0.4000,826979186,V9,72,582,360.1111,0,false,0.0370
91,AdjacencyMatrix,10,25,0.5000,0.5556,3482430647,V9,123,597,299.6667,0,false,0.0454
92,AdjacencyMatrix,10,19,0.5000,0.4222,1842720112,V9,166,504,379.0000,0,false,0.0437
93,AdjacencyMatrix,10,26,0.5000,0.5778,202970577,V9,412,831,585.5556,0,false,0.0424
94,AdjacencyMatrix,10,21,0.5000,0.4667,2858174638,V9,190,1144,569.3333,0,false,0.0345
95,AdjacencyMatrix,10,23,0.5000,0.5111,1218392603,V9,393,1189,796.5556,0,false,0.0481
96,AdjacencyMatrix,10,28,0.5000,0.6222,3873606864,V9,340,1083,857.8889,0,false,0.0480
97,AdjacencyMatrix,10,22,0.5000,0.4889,2233834529,V9,104,1738,552.1111,0,false,0.0357
98,AdjacencyMatrix,10,20,0.5000,0.4444,594256794,V9,124,1015,596.6667,0,false,0.0388
99,AdjacencyMatrix,10,26,0.5000,0.5778,3249575655,V9,18,725,414.3333,0,false,0.0706
100,AdjacencyMatrix,10,22,0.5000,0.4889,1609931920,V9,463,1381,944.4444,0,false,0.0418
1,AdjacencyMatrix,10,35,0.7500,0.7778,815682837,V9,25,849,223.4444,0,false,0.0486
2,AdjacencyMatrix,10,34,0.7500,0.7556,3470920598,V9,132,532,339.3333,0,false,0.0606
3,AdjacencyMatrix,10,38,0.7500,0.8444,1831117063,V9,110,645,381.5556,0,false,0.0599
4,AdjacencyMatrix,10,33,0.7500,0.7333,191292728,V9,62,404,253.2222,0,false,0.0543
5,AdjacencyMatrix,10,36,0.7500,0.8000,2846775889,V9,47,803,321.0000,0,false,0.0590
6,AdjacencyMatrix,10,37,0.7500,0.8222,1207381254,V9,157,485,302.7778,0,false,0.0700
7,AdjacencyMatrix,10,36,0.7500,0.8000,3862748515,V9,3,652,340.5556,0,false,0.0582
8,AdjacencyMatrix,10,32,0.7500,0.7111,2222956280,V9,278,1037,615.4444,0,false,0.0450
9,AdjacencyMatrix,10,29,0.7500,0.6444,583118245,V9,224,1067,536.0000,0,false,0.0567
10,AdjacencyMatrix,10,31,0.7500,0.6889,3238249906,V9,151,635,390.6667,0,false,0.0523
11,AdjacencyMatrix,10,33,0.7500,0.7333,1598423371,V9,494,874,699.5556,0,false,0.0550
12,AdjacencyMatrix,10,32,0.7500,0.7111,4253559032,V9,74,510,267.5556,0,false,0.0537
13,AdjacencyMatrix,10,34,0.7500,0.7556,2613771997,V9,72,464,257.5556,0,false,0.0745
14,AdjacencyMatrix,10,34,0.7500,0.7556,974164462,V9,32,539,332.0000,0,false,0.0656
15,AdjacencyMatrix,10,37,0.7500,0.8222,3629402023,V9,382,979,712.0000,0,false,0.0797
16,AdjacencyMatrix,10,37,0.7500,0.8222,1989619288,V9,127,316,221.2222,0,false,0.0695
17,AdjacencyMatrix,10,31,0.7500,0.6889,349807853,V9,275,859,532.5556,0,false,0.0602
18,AdjacencyMatrix,10,26,0.7500,0.5778,3004941314,V9,101,1206,462.3333,0,false,0.0462
19,AdjacencyMatrix,10,30,0.7500,0.6667,1365094479,V9,2,744,356.5556,0,false,0.0515
20,AdjacencyMatrix,10,34,0.7500,0.7556,4020352340,V9,269,587,403.1111,0,false,0.0559
21,AdjacencyMatrix,10,38,0.7500,0.8444,2380547205,V9,26,261,136.6667,0,false,0.0608
22,AdjacencyMatrix,10,32,0.7500,0.7111,740853070,V9,22,647,362.8889,0,false,0.0449
23,AdjacencyMatrix,10,32,0.7500,0.7111,3396347431,V9,248,885,587.8889,0,false,0.0457
24,AdjacencyMatrix,10,40,0.7500,0.8889,1756765896,V9,96,646,310.2222,0,false,0.0630
25,AdjacencyMatrix,10,37,0.7500,0.8222,116971361,V9,221,542,368.8889,0,false,0.0591
26,AdjacencyMatrix,10,32,0.7500,0.7111,2772118322,V9,348,658,473.6667,0,false,0.0450
27,AdjacencyMatrix,10,32,0.7500,0.7111,1132277587,V9,167,643,385.2222,0,false,0.0534
28,AdjacencyMatrix,10,39,0.7500,0.8667,3787410948,V9,305,610,454.4444,0,false,0.0513
29,AdjacencyMatrix,10,34,0.7500,0.7556,2147578413,V9,153,578,354.5556,0,false,0.0562
30,AdjacencyMatrix,10,30,0.7500,0.6667,507755478,V9,196,460,340.2222,0,false,0.0516
31,AdjacencyMatrix,10,31,0.7500,0.6889,3163191739,V9,118,515,393.3333,0,false,0.0530
32,AdjacencyMatrix,10,35,0.7500,0.7778,1523457004,V9,129,571,314.0000,0,false,0.0580
33,AdjacencyMatrix,10,33,0.7500,0.7333,4178689965,V9,77,563,306.7778,0,false,0.0459
34,AdjacencyMatrix,10,36,0.7500,0.8000,2538848730,V9,63,426,177.5556,0,false,0.0576
35,AdjacencyMatrix,10,29,0.7500,0.6444,899020295,V9,248,904,672.8889,0,false,0.0498
36,AdjacencyMatrix,10,36,0.7500,0.8000,3554199256,V9,189,475,325.5556,0,false,0.0587
37,AdjacencyMatrix,10,35,0.7500,0.7778,1914365821,V9,476,979,710.8889,0,false,0.0568
38,AdjacencyMatrix,10,34,0.7500,0.7556,274543686,V9,349,610,499.4444,0,false,0.0559
39,AdjacencyMatrix,10,35,0.7500,0.7778,2929677447,V9,79,600,285.3333,0,false,0.0482
40,AdjacencyMatrix,10,34,0.7500,0.7556,1289952212,V9,182,719,384.7778,0,false,0.0563
41,AdjacencyMatrix,10,36,0.7500,0.8000,3945577273,V9,68,522,342.3333,0,false,0.0584
42,AdjacencyMatrix,10,39,0.7500,0.8667,2306014138,V9,134,593,323.4444,0,false,0.0523
43,AdjacencyMatrix,10,33,0.7500,0.7333,666295603,V9,293,945,597.4444,0,false,0.0546
44,AdjacencyMatrix,10,37,0.7500,0.8222,3321519864,V9,60,357,186.2222,0,false,0.0590
45,AdjacencyMatrix,10,38,0.7500,0.8444,1681774029,V9,60,510,218.8889,0,false,0.0601
46,AdjacencyMatrix,10,37,0.7500,0.8222,41975994,V9,54,411,169.0000,0,false,0.0594
47,AdjacencyMatrix,10,32,0.7500,0.7111,2697181655,V9,30,621,244.8889,0,false,0.0616
48,AdjacencyMatrix,10,36,0.7500,0.8000,1057547220,V9,30,329,218.3333,0,false,0.0681
49,AdjacencyMatrix,10,28,0.7500,0.6222,3712938981,V9,61,714,458.2222,0,false,0.0569
50,AdjacencyMatrix,10,35,0.7500,0.7778,2073182046,V9,310,744,471.6667,0,false,0.0567
51,AdjacencyMatrix,10,33,0.7500,0.7333,433469711,V9,106,564,286.0000,0,false,0.0538
52,AdjacencyMatrix,10,28,0.7500,0.6222,3088697372,V9,174,921,495.1111,0,false,0.0417
53,AdjacencyMatrix,10,33,0.7500,0.7333,1448958737,V9,21,647,255.7778,0,false,0.0462
54,AdjacencyMatrix,10,33,0.7500,0.7333,4104145698,V9,352,1049,638.7778,0,false,0.0542
55,AdjacencyMatrix,10,32,0.7500,0.7111,2464358863,V9,15,596,220.8889,0,false,0.0538
56,AdjacencyMatrix,10,36,0.7500,0.8000,824591128,V9,102,589,283.7778,0,false,0.0588
57,AdjacencyMatrix,10,34,0.7500,0.7556,3480047789,V9,147,836,380.0000,0,false,0.0564
58,AdjacencyMatrix,10,33,0.7500,0.7333,1840504854,V9,5,229,108.0000,0,false,0.0665
